ID_deal,company,annee_deal,type_deal,responsable_deal,equipier_deal,is_client_ou_contrepartie,description_deal,region_deal,sector_deal,taille_operation_m_euro,ca_cible_m_euro,afficher_site,afficher_pitchdeck,is_company,is_alecia,logo_filename
1,Feu Vert,2016,Financements structurés,JB,NULL,contrepartie,Structuration du financement de l'acquisition du groupe Feu Vert par Alpha Private Equity,Ile-de-France,Distribution & services B2C,18,344,0,1,1,0,feu_vert.png
1,Alpha Private Equity,2016,Financements structurés,JB,NULL,contrepartie,Structuration du financement de l'acquisition du groupe Feu Vert par Alpha Private Equity,Ile-de-France,Distribution & services B2C,18,344,0,1,1,0,alpha_private_equity.png
2,ISP System,2017,Levée de fonds,TC,NULL,client,"Conseil des actionnaires d'ISP System, acteur de l'ingénierie de précision, lors d'une levée de fonds de 4m€ afin d'accélérer l'internationalisation",Occitanie,Industries,4,8,0,1,1,0,ISP_System.png
2,Crédit Mutuel Equity,2017,Levée de fonds,TC,NULL,contrepartie,"Conseil des actionnaires d'ISP System, acteur de l'ingénierie de précision, lors d'une levée de fonds de 4m€ afin d'accélérer l'internationalisation",Occitanie,Industries,4,8,0,1,1,0,Credit_Mutuel_Equity.png
3,KFC,2017,Levée de fonds,TC,NULL,client,Structuration d'un financement corporate d'un franchisé KFC pour le développement de nouveaux restaurants,Ile-de-France,Technologies & logiciels,3,20,0,1,1,0,kfc.png
3,A Plus Finance,2017,Levée de fonds,TC,NULL,contrepartie,Structuration d'un financement corporate d'un franchisé KFC pour le développement de nouveaux restaurants,Ile-de-France,Technologies & logiciels,3,20,0,1,1,0,a_plus_finance.png
4,Soléo Services,2017,Levée de fonds,TC,NULL,client,"Conseil des actionnaires de Soléo Services, expert de la dpépollution des sols, lors d'une levée de fonds de 4m€ afin d'accélérer le maillage territorial",Ile-de-France,Energie & environnement,"2,5",13,0,1,1,0,Soleo_Services.png
4,NextStage,2017,Levée de fonds,TC,NULL,contrepartie,"Conseil des actionnaires de Soléo Services, expert de la dpépollution des sols, lors d'une levée de fonds de 4m€ afin d'accélérer le maillage territorial",Ile-de-France,Energie & environnement,"2,5",13,0,1,1,0,NextStage.png
5,Editions 365,2017,Cession,TC,NULL,client,"Conseil de l'actionnaire d'Editions 365, maison d'édition, dans son adossement à Fleurus, filiale de Média Participations",Ile-de-France,Media & communication,8,"4,3",0,1,1,0,Editions_365.png
5,Fleurus,2017,Cession,TC,NULL,contrepartie,"Conseil de l'actionnaire d'Editions 365, maison d'édition, dans son adossement à Fleurus, filiale de Média Participations",Ile-de-France,Media & communication,8,"4,3",0,1,1,0,Fleurus.png
6,CC&C,2017,Cession,TC,NULL,client,"Conseil des actionnaires de CC&C, société de production de documentaires télé, pour sa cession à Mediawan",Ile-de-France,Media & communication,3,2,0,1,1,0,CC_and_C.png
6,Mediawan,2017,Cession,TC,NULL,contrepartie,"Conseil des actionnaires de CC&C, société de production de documentaires télé, pour sa cession à Mediawan",Ile-de-France,Media & communication,3,2,0,1,1,0,Mediawan.png
7,Les Nouveaux Constructeurs,2017,Financements structurés,JB,NULL,client,Refinancement de la société Les Nouveaux Constructeurs pour réallocation d'actifs,Ile-de-France,Immobilier & construction,100,800,0,1,1,0,les_nouveaux_constructeurs.png
7,Five Arrows,2017,Financements structurés,JB,NULL,contrepartie,Refinancement de la société Les Nouveaux Constructeurs pour réallocation d'actifs,Ile-de-France,Immobilier & construction,100,800,0,1,1,0,Five_Arrows.png
8,CNP Assurances,2018,Acquisition,GC,NULL,client,Acquisition du courtier digital Azimut par CNP dans le cadre de sa stratégie de digitalisation,Ile-de-France,Services financiers & assurance,NULL,NULL,0,1,1,0,cnp_assurances.png
8,Azimut,2018,Acquisition,GC,NULL,contrepartie,Acquisition du courtier digital Azimut par CNP dans le cadre de sa stratégie de digitalisation,Ile-de-France,Services financiers & assurance,NULL,NULL,0,1,1,0,azimut.png
9,Cipres,2018,Acquisition,GC,NULL,client,Acquisition d'Axelliance par Ciprès Assurances pour former le groupe Entoria,Ile-de-France,Services financiers & assurance,NULL,NULL,0,1,1,0,cipres.png
9,Axelliance,2018,Acquisition,GC,NULL,contrepartie,Acquisition d'Axelliance par Ciprès Assurances pour former le groupe Entoria,Ile-de-France,Services financiers & assurance,NULL,NULL,0,1,1,0,axelliance.png
9,Apax Partners,2018,Acquisition,GC,NULL,client,Acquisition d'Axelliance par Ciprès Assurances pour former le groupe Entoria,Ile-de-France,Services financiers & assurance,NULL,NULL,0,1,1,0,apax_partners.png
10,Pixiel Group,2018,Cession,TC,NULL,client,"Prise de participation majoritaire de Delta Drone dans Pixiel Group, société de drones évènementiels",Ile-de-France,Industries,4,2,0,1,1,0,Pixiel_Group.png
10,DeltaDrone,2018,Cession,TC,NULL,contrepartie,"Prise de participation majoritaire de Delta Drone dans Pixiel Group, société de drones évènementiels",Ile-de-France,Industries,4,2,0,1,1,0,DeltaDrone.png
11,Filiassur,2018,Financements structurés,JB,NULL,client,Financement de l'acquisition de la société de courtage en assurance Filiassur par Tikehau Capital,Normandie,Services financiers & assurance,12,15,0,1,1,0,Filiassur.png
11,Tikehau Capital,2018,Financements structurés,JB,NULL,contrepartie,Financement de l'acquisition de la société de courtage en assurance Filiassur par Tikehau Capital,Normandie,Services financiers & assurance,12,15,0,1,1,0,tikehau_capital.png
12,Manageria,2018,Cession,TC,NULL,client,"Cession de Manageria, cabinet de conseil en ressources humaines, à ses managers",Ile-de-France,Services B2B,2,1,0,1,1,0,manageria.png
12,Managers,2018,Cession,TC,NULL,contrepartie,"Cession de Manageria, cabinet de conseil en ressources humaines, à ses managers",Ile-de-France,Services B2B,2,1,0,1,0,0,icone_individus.svg
13,Patchwork,2019,Levée de fonds,TC,NULL,client,"Conseil des actionnaires de la société Patchwork, société de coworking, dans le cadre d'une émission obligataire auprès d'ExtendAM",Ile-de-France,Services B2B,4,NULL,0,1,1,0,Patchwork.png
13,Extendam,2019,Levée de fonds,TC,NULL,contrepartie,"Conseil des actionnaires de la société Patchwork, société de coworking, dans le cadre d'une émission obligataire auprès d'ExtendAM",Ile-de-France,Services B2B,4,NULL,0,1,1,0,Extendam.png
